##= Cultures Localisation =##

##= Aksumite =##
aksumite;Aksumite;;;;;;;;;;;;x
blemmye;Blemmyan;;;;;;;;;;;;x
ethiopian;Aksumite;;;;;;;;;;;;x
somali;Macrobian;;;;;;;;;;;;x

## Altaic =##
altaic;Altaic;;;;;;;;;;;;x
hunnic;Hunnic;;;;;;;;;;;;x
turkish;Turkish;;;;;;;;;;;;x
pecheneg;Pecheneg;;;;;;;;;;;;x
cuman;Cuman;;;;;;;;;;;;x
khazar;Khazar;;;;;;;;;;;;x
bolghar;Bolghar;;;;;;;;;;;;x
avar;Avar;;;;;;;;;;;;x
karluk;Karluk;;;;;;;;;;;;x
kirghiz;Kirghiz;;;;;;;;;;;;x
uyghur;Uyghur;;;;;;;;;;;;x
mongol;Mongol;;;;;;;;;;;;x
khitan;Khitan;;;;;;;;;;;;x
jurchen;Jurchen;;;;;;;;;;;;x

##= Arabic =##
arabic;Arabic;;;;;;;;;;;;x
bedouin_arabic;Bedouin;;;;;;;;;;;;x
nabataean_arabic;Nabataean;;;;;;;;;;;;x
himyarite;Himyarite;;;;;;;;;;;;x

##= Bactrian =##
bactrian_group;Bactrian;;;;;;;;;;;;x
sogdian;Sogdian;;;;;;;;;;;;x
xionite;Xionite;;;;;;;;;;;;x
bactrian;Bactrian;;;;;;;;;;;;x
kidarite;Kidarite;;;;;;;;;;;;x
nezak;Nezak;;;;;;;;;;;;x
alchon;Alchon;;;;;;;;;;;;x
wusun;Wusun;;;;;;;;;;;;x

##= Balkan =##
balkan;Balkan;;;;;;;;;;;;x
illyrian;Illyrian;;;;;;;;;;;;x
dacian;Dacian;;;;;;;;;;;;x
thracian;Thracian;;;;;;;;;;;;x

##= British =##
british;British;;;;;;;;;;;;x
briton;Briton;;;;;;;;;;;;x
cumbric;Cumbric;;;;;;;;;;;;x
pictish;Pict;;;;;;;;;;;;x

##= Caucasian =##
caucasian;Caucasian;;;;;;;;;;;;x
armenian;Armenian;;;;;;;;;;;;x
georgian;Ibero;;;;;;;;;;;;x
colchian;Colchian;;;;;;;;;;;;x
albanian;Albanian;;;;;;;;;;;;x

##= Chinese/Tibetan =##
# leave, incase i add more...

##= Finno-Ugric =##
finnish;Finnish;;;;;;;;;;;;x
lappish;Lappish;;;;;;;;;;;;x
komi;Komi;;;;;;;;;;;;x
khanty;Khanty;;;;;;;;;;;;x
samoyed;Samoyed;;;;;;;;;;;;x
mordvin;Mordvin;;;;;;;;;;;;x
meshchera;Meshchera;;;;;;;;;;;;x
ugricbaltic;Setonian;;;;;;;;;;;;x

##= Gaelic =##
gaelic_group;Gaelic;;;;;;;;;;;;x
irish;Irish;;;;;;;;;;;;x
gaelic;Gaelic;;;;;;;;;;;;x
thulean;Thulean;;;;;;;;;;;;x

##= Gallic =##
