#= Character Titles =#
### arabic religions ###
ALKAHIN;Al-Kahin;;;;;;;;;;;;x
APKALLATU;Apkallatu;;;;;;;;;;;;x
ALKAHIN_FOA;Your Utmost Grace;;;;;;;;;;;;x
MUNAQISA;Munaqisa;;;;;;;;;;;;x
MUNAQISIYA;Munaqisiya;;;;;;;;;;;;x
MUNAQISA_FOA;Your Utmost Grace;;;;;;;;;;;;x
job_chancellor_nabataean;Tetrarch;;;;;;;;;;;;x
job_chancellor_nabataean_reformed;Tetrarch;;;;;;;;;;;;x
city_job_chancellor_nabataean;Tetrarch;;;;;;;;;;;;x
city_job_chancellor_nabataean_reformed;Tetrarch;;;;;;;;;;;;x
job_marshal_nabataean;Alqayad;;;;;;;;;;;;x
job_marshal_nabataean_reformed;Alqayad;;;;;;;;;;;;x
city_job_marshal_nabataean;Alqayad;;;;;;;;;;;;x
city_job_marshal_nabataean_reformed;Alqayad;;;;;;;;;;;;x
job_spiritual_nabataean;Kahin;;;;;;;;;;;;x
job_spiritual_nabataean_reformed;Kahin;;;;;;;;;;;;x
city_job_spiritual_nabataean;Kahin;;;;;;;;;;;;x
city_job_spiritual_nabataean_reformed;Kahin;;;;;;;;;;;;x
job_spymaster_nabataean;Maswuwl;;;;;;;;;;;;x
job_spymaster_nabataean_reformed;Maswuwl;;;;;;;;;;;;x
city_job_spymaster_nabataean;Maswuwl;;;;;;;;;;;;x
city_job_spymaster_nabataean_reformed;Maswuwl;;;;;;;;;;;;x
job_treasurer_nabataean;Gerusia;;;;;;;;;;;;x
job_treasurer_nabataean_reformed;Gerusia;;;;;;;;;;;;x
city_job_treasurer_nabataean;Gerusia;;;;;;;;;;;;x
city_job_treasurer_nabataean_reformed;Gerusia;;;;;;;;;;;;x
job_chancellor_sayhadic;Tetrarch;;;;;;;;;;;;x
job_chancellor_sayhadic_reformed;Tetrarch;;;;;;;;;;;;x
city_job_chancellor_sayhadic;Tetrarch;;;;;;;;;;;;x
city_job_chancellor_sayhadic_reformed;Tetrarch;;;;;;;;;;;;x
job_marshal_sayhadic;Alqayad;;;;;;;;;;;;x
job_marshal_sayhadic_reformed;Alqayad;;;;;;;;;;;;x
city_job_marshal_sayhadic;Alqayad;;;;;;;;;;;;x
city_job_marshal_sayhadic_reformed;Alqayad;;;;;;;;;;;;x
job_spiritual_sayhadic;Kahin;;;;;;;;;;;;x
job_spiritual_sayhadic_reformed;Kahin;;;;;;;;;;;;x
city_job_spiritual_sayhadic;Kahin;;;;;;;;;;;;x
city_job_spiritual_sayhadic_reformed;Kahin;;;;;;;;;;;;x
job_spymaster_sayhadic;Maswuwl;;;;;;;;;;;;x
job_spymaster_sayhadic_reformed;Maswuwl;;;;;;;;;;;;x
city_job_spymaster_sayhadic;Maswuwl;;;;;;;;;;;;x
city_job_spymaster_sayhadic_reformed;Maswuwl;;;;;;;;;;;;x
job_treasurer_sayhadic;Gerusia;;;;;;;;;;;;x
job_treasurer_sayhadic_reformed;Gerusia;;;;;;;;;;;;x
city_job_treasurer_sayhadic;Gerusia;;;;;;;;;;;;x
city_job_treasurer_sayhadic_reformed;Gerusia;;;;;;;;;;;;x
temple_baron_nabataean;Kahin;;;;;;;;;;;;x
