##= Religions/Cultures Localisation =##

##= Arabic =##
# Cultures
arabic;Arabic;;;;;;;;;;;;x
bedouin_arabic;Bedouin;;;;;;;;;;;;x
nabataean_arabic;Nabataean;;;;;;;;;;;;x
himyarite;Himyarite;;;;;;;;;;;;x

# Religions
nabataean;Nabataean;;;;;;;;;;;;x
nabataean_reformed;Nabataean;;;;;;;;;;;;x
nabataean_full;Nabataean;;;;;;;;;;;;x
nabataean_reformed_full;Nabataean Reformed;;;;;;;;;;;;x
nabataean_DESC;The Nabataean religion is the form of Arab polytheism practiced in Nabataea. The Nabateans are polytheistic and worship a wide variety of local gods as well as Baalshamin, Isis, and Graeco-Italic gods such as Tyche and Dionysus. Their gods are worshipped at temples, high places, and betyls. They are mostly aniconic and prefer to decorate their sacred places with geometric designs. Like many other polytheists, they make sacrifices to their gods, perform other rituals and believe in an afterlife.\n;;;;;;;;;;;;x
nabataean_reformed_DESC;The Nabataean religion is the form of Arab polytheism practiced in Nabataea. The Nabateans are polytheistic and worship a wide variety of local gods as well as Baalshamin, Isis, and Graeco-Italic gods such as Tyche and Dionysus. Their gods are worshipped at temples, high places, and betyls. They are mostly aniconic and prefer to decorate their sacred places with geometric designs. Like many other polytheists, they make sacrifices to their gods, perform other rituals and believe in an afterlife.\n;;;;;;;;;;;;x
nabataean_reformed_FEATURES;§Y*§! Defensive bonuses in Nabataean lands.\n§Y*§! Can demand conversion and convert provinces.;;;;;;;;;;;;x
sayhadic;Wathanist;;;;;;;;;;;;x
sayhadic_reformed;Wathanist;;;;;;;;;;;;x
sayhadic_full;Wathanist;;;;;;;;;;;;x
sayhadic_reformed_full;Wathanist Reformed;;;;;;;;;;;;x
sayhadic_DESC;The civilizations of south Arabia are considered to have the most developed pantheon in the Arabian peninsula. In south Arabia, the most common god is Athtar, who is considered remote. Patron deities are considered to be of much more immediate significance than Athtar. Each people group are termed the “children” of their respective patron deity. Patron deities play a vital role in sociopolitical terms, their cults serving as the focus of a person’s cohesion and loyalty.\n;;;;;;;;;;;;x
sayhadic_reformed_DESC;The civilizations of south Arabia are considered to have the most developed pantheon in the Arabian peninsula. In south Arabia, the most common god is Athtar, who is considered remote. Patron deities are considered to be of much more immediate significance than Athtar. Each people group are termed the “children” of their respective patron deity. Patron deities play a vital role in sociopolitical terms, their cults serving as the focus of a person’s cohesion and loyalty.\n;;;;;;;;;;;;x
sayhadic_reformed_FEATURES;§Y*§! Defensive bonuses in Wathanist lands.\n§Y*§! Can demand conversion and convert provinces.;;;;;;;;;;;;x
GOD_DUSHARA;Dushara;;;;;;;;;;;;x
GOD_AL_UZZA;Al-Uzza;;;;;;;;;;;;x
GOD_ALLAT;Allat;;;;;;;;;;;;x
GOD_MANAT;Manat;;;;;;;;;;;;x
GOD_BAALSHAMIN;Baalshamin;;;;;;;;;;;;x
GOD_TYCHE;Tyche;;;;;;;;;;;;x
GOD_ISIS;Isis;;;;;;;;;;;;x
GOD_AL_KUTBAY;Al-Kutbay;;;;;;;;;;;;x
GOD_MANOTU;Manotu;;;;;;;;;;;;x
THE_GHOULS;the Ghouls;;;;;;;;;;;;x
GOD_ATHTAR;Athtar;;;;;;;;;;;;x
GOD_ALMAQAH;Almaqah;;;;;;;;;;;;x
GOD_WADD;Wadd;;;;;;;;;;;;x
GOD_AMM;'Amm;;;;;;;;;;;;x
GOD_HAUBAS;Huabas;;;;;;;;;;;;x
GOD_TALAB;Ta'lab;;;;;;;;;;;;x
GOD_HAUKIM;Haukim;;;;;;;;;;;;x
GOD_UZZAYAN;Uzzayan;;;;;;;;;;;;x
GOD_BASAMUM;Basamum;;;;;;;;;;;;x
THE_SACRED_TABLETS;The Sacred Tablets;;;;;;;;;;;;x
THE_BETYLITIC_TEXTS;The Betylitic Texts;;;;;;;;;;;;x
KAHIN;Kahin;;;;;;;;;;;;x
AFKAL;Afkal;;;;;;;;;;;;x
MONSTER_BAHAMUT;Bahamut;Bahamut;;;;;;;;;;x

##= Gallic =##
# Cultures
galatian;Galatian;;;;;;;;;;;;x


# Religions
gallic;Gallic;;;;;;;;;;;;x
druidic;Druidic;;;;;;;;;;;;x
gallic_reformed;Gallic;;;;;;;;;;;;x

##= Nilotic =##
# Cultures
nilotic;Nilotic;;;;;;;;;;;;x
egyptian;Egyptian;;;;;;;;;;;;x
kushite;Meroitic;;;;;;;;;;;;x
blemmye;Blemmyan;;;;;;;;;;;;x
aksumite;Aksumite;;;;;;;;;;;;x
ethiopian;Aksumite;;;;;;;;;;;;x
garamantian;Garamantic;;;;;;;;;;;;x
nasamonian;Nasamonian;;;;;;;;;;;;x

# Religions
kemetic;Kemetic;;;;;;;;;;;;x
atenic;Atenic;;;;;;;;;;;;x
egyptian_group;Egyptian;;;;;;;;;;;x

##= Mesopotamian/Semitic =##
# Cultures
mesopotamian;Mesopotamian;;;;;;;;;;;;x
assyrian;Assyrian;;;;;;;;;;;;x
akkadian;Akkadian;;;;;;;;;;;;x
sumerian;Sumerian;;;;;;;;;;;;x
aramaic;Aramaic;;;;;;;;;;;;x
hebrew;Hebrew;;;;;;;;;;;;x
carthaginian;Carthaginian;;;;;;;;;;;;x
phoenician;Phoenician;;;;;;;;;;;;x
libyo_phoenician;Libyo-Phoenician;;;;;;;;;;;;x
phoeniciberian;Shapani;;;;;;;;;;;;x

# Religions
semitic_grp;Semitic;;;;;;;;;;;;x
chaldean;Chaldean;;;;;;;;;;;;x
chaldean_full;Chaldean;;;;;;;;;;;;x
chaldean_DESC;The polytheistic beliefs of the Mesopotamians date back millenia, with a complex heirarchy of gods and evil spirits. They believe in the appeasement of the gods via worship and living virtuous lives, in order to prevent their wrath and the potential destruction of Mesopotamian civilisation. The ancient religion of Mesopotamia has to be by far the oldest pantheon in the world.\n;;;;;;;;;;;;x
chaldean_reformed;Chaldean;;;;;;;;;;;;x
